LoadedPanels,MeltLabels,Scaling,Conc,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10,Cycle11,Cycle12,Cycle13,Cycle14,Cycle15,Cycle16,Cycle17,Cycle18,Cycle19,Cycle20,Cycle21,Cycle22,Cycle23,Cycle24,Cycle25,Cycle26,Cycle27,Cycle28,Cycle29,Cycle30,Cycle31,Cycle32,Cycle33,Cycle34,Cycle35,Cycle36,Cycle37,Cycle38,Cycle39
VIM,VIM,2.996855364,5.00E+04,-0.005512094,-0.003353175,0.000202505,0.000362314,0.003160777,0.001167218,0.002329605,0.002255479,0.002061851,0.000325193,0.001393309,0.002140662,0.000338242,0.000973112,-0.001107655,0.001287014,0.000368613,0.00349211,0.01153595,0.02422173,0.05428857,0.1105893,0.2108941,0.3708957,0.5771971,0.8055249,1.032325,1.246456,1.445629,1.624641,1.793678,1.94779,2.08926,2.224324,2.342129,2.452941,2.552787,2.642366,2.725552,2.800196
VIM,VIM,2.669348216,1.00E+04,-0.009112702,-0.002592352,0.00195853,0.000767846,0.001609318,0.002824448,0.001732987,0.002885944,0.002431277,0.000800935,0.001773553,0.001989965,0.00072131,-0.001012968,0.001033559,-0.000763252,-0.000648311,-0.001637155,0.001817228,0.002575953,0.006075661,0.01690743,0.03374883,0.08032088,0.1602331,0.2984996,0.4786269,0.685935,0.8956612,1.097987,1.2832,1.455223,1.613979,1.763207,1.897308,2.02264,2.137423,2.24329,2.335899,2.420396
VIM,VIM,2.833606013,5.00E+03,-0.006755184,-0.003071439,0.000595199,0.000382252,0.002212425,0.002106185,0.001885144,0.001878874,0.001844721,4.40E-05,0.001532236,0.001251483,0.001474863,0.000978285,0.000476626,-8.65E-05,0.001337899,-0.000320887,-0.000753608,-0.000857719,0.001859163,0.005522665,0.01397542,0.03190975,0.06592266,0.1307694,0.2351329,0.3903281,0.5773437,0.7742816,0.9654064,1.146938,1.317813,1.480345,1.633825,1.782613,1.930919,2.078144,2.219617,2.347722
OXA,OXA,2.971716394,1.00E+06,-0.00895169,-0.000445825,0.00154048,0.001293783,0.001858883,0.002610581,0.001582367,0.003361407,0.0016921,0.001273573,0.001151789,0.000739587,0.000395693,-0.000244171,0.002190851,0.006240052,0.0124212,0.02809032,0.05862528,0.1174407,0.2196599,0.3806185,0.5892267,0.8112611,1.032803,1.246543,1.437333,1.614887,1.772252,1.919241,2.053622,2.17765,2.291848,2.394141,2.486756,2.57779,2.653598,2.722078,2.787292,2.846223
OXA,OXA,3.124614675,5.00E+05,-0.005075743,-0.002473448,0.00155849,0.00072156,0.001421576,0.002282086,0.001890106,0.001177766,0.000358697,0.001405775,0.001255321,0.00075361,-0.000618911,-0.001036596,0.000308839,0.003772757,0.004310448,0.01013864,0.02340357,0.05110903,0.1047935,0.2041977,0.365509,0.5800863,0.8170692,1.055036,1.27887,1.485484,1.678407,1.85288,2.012914,2.15773,2.299321,2.421758,2.53467,2.633607,2.730368,2.813766,2.889826,2.956142
OXA,OXA,3.086470423,1.00E+05,-0.007523592,-0.001489364,0.001415107,1.34E-06,0.001801271,0.001561395,0.003197008,0.001568372,0.002515162,0.002305599,0.000480805,0.000905614,-0.000641073,4.44E-06,-0.000122482,0.000213887,0.001516687,0.003850385,0.008783277,0.02191656,0.04768647,0.1023008,0.1974563,0.3560165,0.5713969,0.8073564,1.048939,1.275095,1.48604,1.679723,1.855042,2.018758,2.166133,2.304736,2.428964,2.541396,2.643954,2.735641,2.820232,2.895015
OXA,OXA,2.845966773,5.00E+04,-0.008127807,-0.002197745,0.000733814,0.001418094,0.001973137,0.002561518,0.001845649,0.002770606,0.001959315,0.000607822,0.002670039,0.000323322,0.001051457,-0.000618003,-0.000477301,-0.000780341,-0.00036141,-0.000179625,-0.001353346,-0.000433321,0.002313973,0.007352455,0.01782328,0.04153105,0.08706021,0.1706987,0.3133524,0.5154437,0.7442871,0.9780256,1.204101,1.413329,1.609196,1.788186,1.948652,2.097492,2.229869,2.353093,2.460465,2.555509
OXA,OXA,2.682814808,1.00E+04,-0.005691457,-0.002797406,4.09E-05,-5.76E-05,0.001108214,0.00240748,0.001889514,0.00264806,0.001719909,0.00084994,0.00043074,0.000258446,0.001806125,0.00055836,0.001619343,-0.000502963,-0.000329895,0.000691282,-0.001660831,-0.000422246,-0.001012936,-0.000991343,7.54E-05,0.000793082,0.005582497,0.01200343,0.02939461,0.06229327,0.1250618,0.2369678,0.4087733,0.6280736,0.8677849,1.102431,1.327882,1.534385,1.726188,1.894946,2.050649,2.195573
OXA,OXA,2.877551649,5.00E+03,-0.003924927,-0.002168698,-0.000933549,0.000570793,0.00098635,0.001610053,0.001768928,0.002164326,0.001978123,0.000715738,0.00047173,0.001486793,0.000370879,-0.000566745,0.000195014,-0.000431469,-0.000637343,-0.000381102,0.001560106,0.002636644,0.006969174,0.01605368,0.03734379,0.08147265,0.1592362,0.2924426,0.4833722,0.7039655,0.9339243,1.156518,1.364208,1.557103,1.732109,1.897178,2.045874,2.182169,2.305251,2.419993,2.518693,2.606482
NDM,NDM,2.385064661,1.00E+06,-0.007904178,-0.00041592,0.001274938,0.002407503,0.002162031,0.002607982,0.002035652,0.0016843,0.000224311,0.000485713,8.89E-05,-0.001014713,-0.002009807,-0.001577636,-0.000702419,0.003019512,0.01130007,0.031596,0.06956602,0.1443281,0.2662005,0.4361694,0.6398412,0.8603469,1.082312,1.295281,1.496829,1.674465,1.829241,1.960751,2.071237,2.156949,2.223367,2.262758,2.29062,2.30789,2.319977,2.329217,2.333816,2.342519
NDM,NDM,2.481154679,5.00E+05,-0.009842088,-0.001752727,0.002590362,0.00222955,0.003910371,0.003576233,0.002411398,0.002637238,0.000284237,0.000373497,0.00013164,-0.001388513,-0.001305024,-0.002014014,-0.001577405,0.000642897,0.004667394,0.01604637,0.04122527,0.09322174,0.187805,0.3361807,0.5283633,0.7512507,0.9828138,1.211783,1.429226,1.626102,1.8014,1.95215,2.082037,2.186058,2.268594,2.329381,2.360354,2.383142,2.400005,2.41183,2.422477,2.427596
NDM,NDM,2.391050449,1.00E+05,-0.008595979,-0.002721045,0.002122981,0.002421064,0.00256332,0.00235027,0.002289002,0.002685614,0.000894631,0.001126653,0.001984761,0.000911471,0.000339987,-0.001605255,-0.000633127,-0.002893833,-0.001494241,0.002728708,0.009280425,0.02549815,0.05716976,0.1227477,0.2372108,0.4013637,0.6040841,0.8300869,1.061615,1.280524,1.48604,1.671451,1.834143,1.978107,2.101264,2.2007,2.274323,2.329304,2.367144,2.394767,2.416681,2.436605
NDM,NDM,2.38967945,5.00E+04,-0.007660774,-0.002174739,0.00116644,0.001700338,0.001821802,0.002939336,0.001729144,0.00196394,0.000762526,0.001041153,0.001256658,0.000541536,0.001542982,-0.000588927,-6.72E-05,-0.001233774,8.28E-05,-0.000438741,-0.000304295,0.000301797,0.004890948,0.01354494,0.03325598,0.07402666,0.1468713,0.2624602,0.4245429,0.6205258,0.8314672,1.040297,1.240177,1.422587,1.593395,1.740633,1.866665,1.977641,2.064837,2.132718,2.180099,2.211596
OXA,OXA,2.846036604,1.00E+05,-0.0011321,-0.00110737,-0.000941978,-0.000990163,0.001265874,0.00089733,0.000986077,0.000543744,0.000548444,9.99E-05,0.001734151,0.001533226,-0.000185786,-0.000610461,-0.000705949,0.000488973,0.000126596,0.001242339,0.002474952,0.006192977,0.01560898,0.03508488,0.07256922,0.1431341,0.2654794,0.44823,0.6647407,0.8904725,1.113853,1.319412,1.510025,1.685671,1.843046,1.991944,2.123989,2.244749,2.357896,2.453485,2.545689,2.623407
OXA,OXA,3.105095247,5.00E+04,-0.003506962,-0.004051784,0.000624807,-9.15E-06,0.001359221,0.001458217,0.001056231,0.002151301,0.000583594,0.001967602,0.000991755,0.002298747,-2.66E-06,-0.00063505,0.00217364,0.00026022,-0.001376398,-0.000218623,-0.00089738,-0.001727164,0.003583296,0.006650077,0.01589156,0.03644894,0.07844333,0.1586253,0.2946155,0.4964345,0.7336868,0.9786907,1.2194,1.441904,1.651162,1.846586,2.025715,2.188891,2.346076,2.486194,2.617065,2.736715
OXA,OXA,2.672336782,1.00E+04,-0.006614532,-0.004483803,0.000466945,0.000747938,0.001604901,0.002442828,0.0017171,0.003574259,0.001898918,0.001219967,0.001411229,0.001792317,0.001443546,0.000376922,0.001365241,-0.000126679,0.000100473,-0.002584186,-0.00165251,-0.001452189,-0.000811833,-0.001007847,0.000975524,0.000649207,0.006293175,0.01316836,0.03235665,0.06861334,0.1365224,0.2565391,0.4368286,0.6596378,0.8954642,1.129574,1.349598,1.551833,1.739483,1.910281,2.059057,2.197606
