,TrainSize,Train/Test,Accuracy,SplitID
0,151,Train,97.35099337748345,0
1,151,Test,96.2,0
2,151,Train,98.01324503311258,1
3,151,Test,96.3,1
4,151,Train,98.01324503311258,2
5,151,Test,94.8,2
6,151,Train,96.02649006622516,3
7,151,Test,94.69999999999999,3
8,151,Train,96.02649006622516,4
9,151,Test,94.5,4
10,151,Train,98.67549668874173,5
11,151,Test,95.7,5
12,151,Train,94.70198675496688,6
13,151,Test,94.5,6
14,151,Train,97.35099337748345,7
15,151,Test,95.39999999999999,7
16,151,Train,98.67549668874173,8
17,151,Test,98.0,8
18,151,Train,97.35099337748345,9
19,151,Test,96.6,9
20,151,Train,98.01324503311258,10
21,151,Test,96.6,10
22,151,Train,98.67549668874173,11
23,151,Test,94.0,11
24,151,Train,96.68874172185431,12
25,151,Test,96.3,12
26,151,Train,97.35099337748345,13
27,151,Test,96.1,13
28,151,Train,99.33774834437085,14
29,151,Test,94.6,14
30,151,Train,96.68874172185431,15
31,151,Test,92.60000000000001,15
32,151,Train,98.01324503311258,16
33,151,Test,95.19999999999999,16
34,151,Train,97.35099337748345,17
35,151,Test,94.6,17
36,151,Train,97.35099337748345,18
37,151,Test,95.8,18
38,151,Train,98.67549668874173,19
39,151,Test,95.6,19
40,151,Train,96.68874172185431,20
41,151,Test,95.1,20
42,151,Train,98.67549668874173,21
43,151,Test,96.89999999999999,21
44,151,Train,94.70198675496688,22
45,151,Test,92.5,22
46,151,Train,96.02649006622516,23
47,151,Test,91.4,23
48,151,Train,96.68874172185431,24
49,151,Test,93.2,24
50,151,Train,96.02649006622516,25
51,151,Test,94.1,25
52,151,Train,97.35099337748345,26
53,151,Test,95.7,26
54,151,Train,94.70198675496688,27
55,151,Test,95.89999999999999,27
56,151,Train,97.35099337748345,28
57,151,Test,93.30000000000001,28
58,151,Train,99.33774834437085,29
59,151,Test,95.6,29
60,151,Train,96.02649006622516,30
61,151,Test,96.8,30
62,151,Train,96.68874172185431,31
63,151,Test,92.7,31
64,151,Train,99.33774834437085,32
65,151,Test,95.19999999999999,32
66,151,Train,96.68874172185431,33
67,151,Test,94.1,33
68,151,Train,99.33774834437085,34
69,151,Test,97.2,34
70,151,Train,97.35099337748345,35
71,151,Test,93.30000000000001,35
72,151,Train,96.68874172185431,36
73,151,Test,95.5,36
74,151,Train,97.35099337748345,37
75,151,Test,96.6,37
76,151,Train,96.68874172185431,38
77,151,Test,93.89999999999999,38
78,151,Train,97.35099337748345,39
79,151,Test,95.19999999999999,39
80,151,Train,98.01324503311258,40
81,151,Test,94.8,40
82,151,Train,98.67549668874173,41
83,151,Test,96.3,41
84,151,Train,96.68874172185431,42
85,151,Test,93.0,42
86,151,Train,96.68874172185431,43
87,151,Test,92.7,43
88,151,Train,97.35099337748345,44
89,151,Test,95.3,44
90,151,Train,96.68874172185431,45
91,151,Test,94.39999999999999,45
92,151,Train,96.68874172185431,46
93,151,Test,95.7,46
94,151,Train,97.35099337748345,47
95,151,Test,95.1,47
96,151,Train,98.01324503311258,48
97,151,Test,94.3,48
98,151,Train,97.35099337748345,49
99,151,Test,95.3,49
100,151,Train,96.68874172185431,50
101,151,Test,94.3,50
102,151,Train,96.68874172185431,51
103,151,Test,93.8,51
104,151,Train,97.35099337748345,52
105,151,Test,95.8,52
106,151,Train,97.35099337748345,53
107,151,Test,94.19999999999999,53
108,151,Train,96.02649006622516,54
109,151,Test,92.30000000000001,54
110,151,Train,96.68874172185431,55
111,151,Test,95.39999999999999,55
112,151,Train,96.68874172185431,56
113,151,Test,95.7,56
114,151,Train,96.02649006622516,57
115,151,Test,92.80000000000001,57
116,151,Train,96.68874172185431,58
117,151,Test,91.3,58
118,151,Train,97.35099337748345,59
119,151,Test,95.39999999999999,59
120,151,Train,96.02649006622516,60
121,151,Test,96.7,60
122,151,Train,96.02649006622516,61
123,151,Test,94.6,61
124,151,Train,95.36423841059603,62
125,151,Test,94.69999999999999,62
126,151,Train,97.35099337748345,63
127,151,Test,96.1,63
128,151,Train,97.35099337748345,64
129,151,Test,94.0,64
130,151,Train,97.35099337748345,65
131,151,Test,93.60000000000001,65
132,151,Train,96.68874172185431,66
133,151,Test,90.0,66
134,151,Train,97.35099337748345,67
135,151,Test,95.5,67
136,151,Train,97.35099337748345,68
137,151,Test,96.7,68
138,151,Train,97.35099337748345,69
139,151,Test,96.3,69
140,151,Train,96.68874172185431,70
141,151,Test,96.39999999999999,70
142,151,Train,98.01324503311258,71
143,151,Test,97.1,71
144,151,Train,95.36423841059603,72
145,151,Test,93.30000000000001,72
146,151,Train,98.01324503311258,73
147,151,Test,94.8,73
148,151,Train,96.68874172185431,74
149,151,Test,95.39999999999999,74
150,151,Train,96.68874172185431,75
151,151,Test,95.39999999999999,75
152,151,Train,97.35099337748345,76
153,151,Test,95.0,76
154,151,Train,98.01324503311258,77
155,151,Test,96.3,77
156,151,Train,96.68874172185431,78
157,151,Test,93.8,78
158,151,Train,97.35099337748345,79
159,151,Test,94.3,79
160,151,Train,96.02649006622516,80
161,151,Test,94.89999999999999,80
162,151,Train,97.35099337748345,81
163,151,Test,92.7,81
164,151,Train,99.33774834437085,82
165,151,Test,95.1,82
166,151,Train,98.67549668874173,83
167,151,Test,96.2,83
168,151,Train,96.02649006622516,84
169,151,Test,94.0,84
170,151,Train,97.35099337748345,85
171,151,Test,95.3,85
172,151,Train,97.35099337748345,86
173,151,Test,96.0,86
174,151,Train,98.01324503311258,87
175,151,Test,96.1,87
176,151,Train,96.68874172185431,88
177,151,Test,95.19999999999999,88
178,151,Train,96.02649006622516,89
179,151,Test,94.8,89
180,151,Train,96.68874172185431,90
181,151,Test,95.89999999999999,90
182,151,Train,98.01324503311258,91
183,151,Test,95.1,91
184,151,Train,99.33774834437085,92
185,151,Test,96.2,92
186,151,Train,96.02649006622516,93
187,151,Test,92.7,93
188,151,Train,100.0,94
189,151,Test,96.1,94
190,151,Train,98.01324503311258,95
191,151,Test,96.5,95
192,151,Train,96.02649006622516,96
193,151,Test,94.1,96
194,151,Train,96.02649006622516,97
195,151,Test,95.6,97
196,151,Train,99.33774834437085,98
197,151,Test,97.0,98
198,151,Train,98.67549668874173,99
199,151,Test,94.39999999999999,99
200,166,Train,97.59036144578313,0
201,166,Test,96.5,0
202,166,Train,98.19277108433735,1
203,166,Test,96.5,1
204,166,Train,98.79518072289156,2
205,166,Test,94.89999999999999,2
206,166,Train,96.3855421686747,3
207,166,Test,94.3,3
208,166,Train,96.3855421686747,4
209,166,Test,95.19999999999999,4
210,166,Train,98.79518072289156,5
211,166,Test,95.6,5
212,166,Train,96.3855421686747,6
213,166,Test,96.2,6
214,166,Train,98.19277108433735,7
215,166,Test,95.8,7
216,166,Train,98.79518072289156,8
217,166,Test,98.0,8
218,166,Train,95.18072289156626,9
219,166,Test,96.6,9
220,166,Train,98.19277108433735,10
221,166,Test,96.0,10
222,166,Train,99.3975903614458,11
223,166,Test,94.39999999999999,11
224,166,Train,96.98795180722891,12
225,166,Test,95.8,12
226,166,Train,96.98795180722891,13
227,166,Test,96.5,13
228,166,Train,98.79518072289156,14
229,166,Test,95.7,14
230,166,Train,96.98795180722891,15
231,166,Test,92.80000000000001,15
232,166,Train,98.19277108433735,16
233,166,Test,95.7,16
234,166,Train,97.59036144578313,17
235,166,Test,95.8,17
236,166,Train,98.19277108433735,18
237,166,Test,96.2,18
238,166,Train,98.79518072289156,19
239,166,Test,96.2,19
240,166,Train,96.3855421686747,20
241,166,Test,95.39999999999999,20
242,166,Train,98.79518072289156,21
243,166,Test,97.0,21
244,166,Train,95.78313253012048,22
245,166,Test,93.30000000000001,22
246,166,Train,96.3855421686747,23
247,166,Test,95.1,23
248,166,Train,96.98795180722891,24
249,166,Test,94.3,24
250,166,Train,97.59036144578313,25
251,166,Test,94.89999999999999,25
252,166,Train,96.98795180722891,26
253,166,Test,96.6,26
254,166,Train,95.78313253012048,27
255,166,Test,95.5,27
256,166,Train,97.59036144578313,28
257,166,Test,94.19999999999999,28
258,166,Train,100.0,29
259,166,Test,95.39999999999999,29
260,166,Train,96.98795180722891,30
261,166,Test,97.3,30
262,166,Train,95.18072289156626,31
263,166,Test,91.9,31
264,166,Train,99.3975903614458,32
265,166,Test,94.89999999999999,32
266,166,Train,95.78313253012048,33
267,166,Test,93.89999999999999,33
268,166,Train,99.3975903614458,34
269,166,Test,97.1,34
270,166,Train,98.19277108433735,35
271,166,Test,94.1,35
272,166,Train,96.98795180722891,36
273,166,Test,95.89999999999999,36
274,166,Train,96.98795180722891,37
275,166,Test,96.39999999999999,37
276,166,Train,96.98795180722891,38
277,166,Test,94.3,38
278,166,Train,96.3855421686747,39
279,166,Test,96.6,39
280,166,Train,98.79518072289156,40
281,166,Test,95.39999999999999,40
282,166,Train,98.79518072289156,41
283,166,Test,96.6,41
284,166,Train,96.3855421686747,42
285,166,Test,94.1,42
286,166,Train,98.79518072289156,43
287,166,Test,94.0,43
288,166,Train,97.59036144578313,44
289,166,Test,95.0,44
290,166,Train,96.98795180722891,45
291,166,Test,94.3,45
292,166,Train,98.19277108433735,46
293,166,Test,96.6,46
294,166,Train,97.59036144578313,47
295,166,Test,94.89999999999999,47
296,166,Train,96.98795180722891,48
297,166,Test,94.69999999999999,48
298,166,Train,97.59036144578313,49
299,166,Test,96.1,49
300,166,Train,96.98795180722891,50
301,166,Test,94.1,50
302,166,Train,96.98795180722891,51
303,166,Test,93.7,51
304,166,Train,97.59036144578313,52
305,166,Test,96.39999999999999,52
306,166,Train,97.59036144578313,53
307,166,Test,94.39999999999999,53
308,166,Train,96.98795180722891,54
309,166,Test,95.19999999999999,54
310,166,Train,96.98795180722891,55
311,166,Test,95.1,55
312,166,Train,96.98795180722891,56
313,166,Test,96.3,56
314,166,Train,96.98795180722891,57
315,166,Test,93.60000000000001,57
316,166,Train,96.3855421686747,58
317,166,Test,94.3,58
318,166,Train,98.19277108433735,59
319,166,Test,96.5,59
320,166,Train,96.3855421686747,60
321,166,Test,96.89999999999999,60
322,166,Train,96.98795180722891,61
323,166,Test,95.5,61
324,166,Train,95.78313253012048,62
325,166,Test,94.6,62
326,166,Train,97.59036144578313,63
327,166,Test,96.6,63
328,166,Train,97.59036144578313,64
329,166,Test,95.1,64
330,166,Train,96.98795180722891,65
331,166,Test,95.6,65
332,166,Train,98.79518072289156,66
333,166,Test,93.0,66
334,166,Train,97.59036144578313,67
335,166,Test,95.5,67
336,166,Train,97.59036144578313,68
337,166,Test,96.7,68
338,166,Train,98.19277108433735,69
339,166,Test,96.5,69
340,166,Train,97.59036144578313,70
341,166,Test,96.6,70
342,166,Train,98.19277108433735,71
343,166,Test,97.0,71
344,166,Train,95.78313253012048,72
345,166,Test,93.60000000000001,72
346,166,Train,97.59036144578313,73
347,166,Test,95.19999999999999,73
348,166,Train,97.59036144578313,74
349,166,Test,95.5,74
350,166,Train,96.3855421686747,75
351,166,Test,95.0,75
352,166,Train,96.98795180722891,76
353,166,Test,95.19999999999999,76
354,166,Train,96.3855421686747,77
355,166,Test,96.1,77
356,166,Train,97.59036144578313,78
357,166,Test,94.69999999999999,78
358,166,Train,97.59036144578313,79
359,166,Test,94.3,79
360,166,Train,96.98795180722891,80
361,166,Test,94.89999999999999,80
362,166,Train,97.59036144578313,81
363,166,Test,94.39999999999999,81
364,166,Train,98.79518072289156,82
365,166,Test,95.0,82
366,166,Train,98.79518072289156,83
367,166,Test,96.0,83
368,166,Train,96.3855421686747,84
369,166,Test,94.3,84
370,166,Train,97.59036144578313,85
371,166,Test,95.5,85
372,166,Train,96.98795180722891,86
373,166,Test,96.2,86
374,166,Train,97.59036144578313,87
375,166,Test,96.2,87
376,166,Train,97.59036144578313,88
377,166,Test,95.5,88
378,166,Train,97.59036144578313,89
379,166,Test,95.5,89
380,166,Train,96.3855421686747,90
381,166,Test,95.89999999999999,90
382,166,Train,97.59036144578313,91
383,166,Test,95.6,91
384,166,Train,99.3975903614458,92
385,166,Test,96.39999999999999,92
386,166,Train,96.3855421686747,93
387,166,Test,93.89999999999999,93
388,166,Train,98.79518072289156,94
389,166,Test,96.8,94
390,166,Train,98.19277108433735,95
391,166,Test,96.39999999999999,95
392,166,Train,95.18072289156626,96
393,166,Test,95.19999999999999,96
394,166,Train,95.18072289156626,97
395,166,Test,95.6,97
396,166,Train,99.3975903614458,98
397,166,Test,97.2,98
