LoadedPanels,Conc,Scaling,Cycle0,Cycle1,Cycle2,Cycle3,Cycle4,Cycle5,Cycle6,Cycle7,Cycle8,Cycle9,Cycle10,Cycle11,Cycle12,Cycle13,Cycle14,Cycle15,Cycle16,Cycle17,Cycle18,Cycle19,Cycle20,Cycle21,Cycle22,Cycle23,Cycle24,Cycle25,Cycle26,Cycle27,Cycle28,Cycle29,Cycle30,Cycle31,Cycle32,Cycle33,Cycle34,Cycle35,Cycle36,Cycle37,Cycle38,Cycle39
VIM_KPC,1.00E+04,3.065413935,-0.008558538,-0.002676346,-0.00034644,0.002636986,0.001727348,0.003262249,0.001872902,0.001305372,0.002018612,0.001675272,0.002601155,0.001964362,0.001222435,-0.001216139,0.000557314,0.000389146,-0.000794343,3.68E-07,0.000120205,0.004953606,0.01167642,0.02596591,0.05691249,0.1215824,0.2358644,0.4129013,0.6473732,0.9069895,1.172303,1.422203,1.652833,1.8584,2.043738,2.208798,2.353274,2.483644,2.600318,2.700422,2.788729,2.863381
NDM_KPC,1.00E+04,3.018534242,-0.009711987,-0.004660944,0.000819628,0.002235835,0.001782246,0.002020102,0.002833761,0.003450108,0.002415956,0.004160419,0.002375928,0.001628914,0.001740322,0.000625606,-0.00026049,-0.000418316,0.000501584,-0.00211024,0.001159012,0.004591764,0.01143702,0.02855677,0.06021426,0.1249027,0.2396305,0.4195248,0.6637476,0.9443468,1.225742,1.484407,1.717784,1.899576,2.07628,2.227092,2.36682,2.492012,2.604957,2.701801,2.790707,2.871976
VIM_NDM_KPC,1.00E+04,3.230207089,-0.007918308,-0.002920331,-0.000769135,0.001572668,0.001209476,0.002312982,0.003025946,0.001156199,0.002696196,0.003476444,0.001281581,0.001010018,0.001113162,0.001112043,-0.000451653,0.000649108,0.000584857,-0.000380296,-2.21E-05,0.001205554,0.006390674,0.01329034,0.03121086,0.06766413,0.1403918,0.2652705,0.4616832,0.7192928,1.012602,1.309001,1.58881,1.838682,2.058781,2.249514,2.420987,2.570017,2.701231,2.822268,2.919444,3.013102
VIM,1.00E+04,2.49580641,-0.006868751,-0.002061676,-0.000514602,-0.00041074,0.001088221,0.001961618,0.002765817,0.001693353,0.001559824,0.00374152,0.002424651,0.002236184,0.000702675,0.000497893,0.001837391,-0.001411149,-0.000678235,-0.000408456,0.002520769,0.006272083,0.01524158,0.03330376,0.07390983,0.1436067,0.2547329,0.4074823,0.5858707,0.7700556,0.948015,1.117293,1.273875,1.420135,1.556488,1.682158,1.800599,1.909767,2.007281,2.099358,2.181502,2.256206
NDM,1.00E+04,2.270605489,-0.005068758,-0.00299261,-0.000804315,-0.001040649,0.001590079,0.001396806,0.003002604,0.002777631,0.00274478,0.001813834,0.001297932,0.002196552,0.001771141,0.001197868,-0.000697981,-0.001515766,-0.001987576,-0.002057317,-0.000923348,0.001357656,0.005735743,0.01747932,0.04267561,0.09499944,0.1868719,0.3212261,0.4892866,0.6814892,0.8789918,1.073669,1.26063,1.431454,1.584853,1.723887,1.83739,1.9322,2.006567,2.061639,2.094958,2.116413
KPC,1.00E+04,2.912879034,-0.006456359,-0.00178707,-0.001421794,-0.000518847,0.002002438,0.00238416,0.002393845,0.000995258,0.001548124,0.002277099,0.001728489,0.00273576,0.002199074,0.000548842,-0.000231137,0.00128624,-4.69E-05,0.000269117,0.001736653,0.002740851,0.0109074,0.02637402,0.05832798,0.119484,0.2204694,0.3775703,0.5850902,0.8210235,1.062054,1.291612,1.504527,1.698935,1.871719,2.030457,2.173982,2.300654,2.41539,2.518005,2.604678,2.684186
VIM_NDM,1.00E+04,2.83471336,-0.008288556,-0.003863141,-0.00053624,0.000763916,0.000811512,0.002462337,0.002276459,0.002502708,0.00407548,0.003819106,0.001986958,0.002706154,0.001881428,0.000516193,0.001483437,-0.000572876,-0.000749698,-0.001562711,-0.001371886,0.001785984,0.005035625,0.01651638,0.03864056,0.08310854,0.1643303,0.3003642,0.4868796,0.7035139,0.9346012,1.159796,1.370897,1.567885,1.745316,1.910694,2.058862,2.190995,2.310153,2.412707,2.502528,2.580875
VIM_KPC,1.00E+04,3.111478507,-0.01191889,-0.002751676,-0.000269932,0.0012628,0.002386396,0.002832709,0.002319324,0.004193468,0.003804735,0.002666696,0.003995717,0.00161217,0.001401072,0.000681793,0.00161617,0.000215725,-0.001347743,3.24E-05,-0.000627704,0.003253466,0.0113793,0.02675967,0.05783545,0.1173033,0.2256016,0.3896811,0.6044588,0.8453563,1.103709,1.35298,1.583662,1.793164,1.984266,2.15509,2.309075,2.447203,2.571334,2.677947,2.775178,2.857364
NDM_KPC,1.00E+04,3.092980781,-0.01113854,-0.002640396,-0.00022055,-0.000638423,0.001734877,0.003085381,0.00341968,0.00407199,0.002815895,0.003577844,0.002629201,0.00174756,0.002621338,0.001826292,5.24E-05,0.000561159,-0.000199907,-0.000660955,-0.001670336,-0.002386048,0.000749884,0.005663314,0.01831334,0.04157578,0.08992238,0.1817326,0.3372399,0.5630137,0.8448859,1.140061,1.42112,1.675519,1.90218,2.102086,2.274734,2.430021,2.567491,2.683009,2.787583,2.873217
VIM_NDM_KPC,1.00E+04,2.935619064,-0.00650554,-0.002334132,-0.000566627,0.001581128,0.000921017,0.001608232,0.000991755,0.000899784,0.003044249,0.002277375,0.00198913,0.001019069,0.000812585,0.001822859,0.000223016,0.001179203,-0.000197597,-6.32E-05,0.000472621,0.002369267,0.006729351,0.02091136,0.04282048,0.08922049,0.1754877,0.3181588,0.5212049,0.7672978,1.031522,1.286819,1.521747,1.730171,1.916056,2.082582,2.225912,2.355061,2.470446,2.572466,2.661731,2.742216
