,TrainSize,Train/Test,Accuracy,SplitID
0,161,Train,98.13664596273291,0
1,161,Test,81.9705287489165,0
2,161,Test_Pure,83.8109305760709,0
3,161,Train,94.40993788819875,1
4,161,Test,84.39757295579312,1
5,161,Test_Pure,86.29246676514033,1
6,161,Train,94.40993788819875,2
7,161,Test,81.09409611865549,2
8,161,Test_Pure,82.91482028557361,2
9,161,Train,93.7888198757764,3
10,161,Test,81.72975055378984,3
11,161,Test_Pure,83.56474643032989,3
12,161,Train,96.27329192546584,4
13,161,Test,83.08773957430415,4
14,161,Test_Pure,84.9532250123092,4
15,161,Train,94.40993788819875,5
16,161,Test,77.13570259077338,5
17,161,Test_Pure,78.86755292959134,5
18,161,Train,96.27329192546584,6
19,161,Test,72.30087643263026,6
20,161,Test_Pure,73.92417528311177,6
21,161,Train,91.92546583850931,7
22,161,Test,83.20331310796493,7
23,161,Test_Pure,85.07139340226489,7
24,161,Train,95.03105590062113,8
25,161,Test,79.93836078204758,8
26,161,Test_Pure,81.73313638601674,8
27,161,Train,92.54658385093167,9
28,161,Test,83.82933641529424,9
29,161,Test_Pure,85.71147218119152,9
30,161,Train,95.03105590062113,10
31,161,Test,77.87729943176346,10
32,161,Test_Pure,79.62580009847365,10
33,161,Train,95.03105590062113,11
34,161,Test,83.70413175382836,11
35,161,Test_Pure,85.5834564254062,11
36,161,Train,94.40993788819875,12
37,161,Test,78.96561687373591,12
38,161,Test_Pure,80.73855243722305,12
39,161,Train,92.54658385093167,13
40,161,Test,77.29943176345951,13
41,161,Test_Pure,79.03495814869522,13
42,161,Train,96.27329192546584,14
43,161,Test,84.55167100067418,14
44,161,Test_Pure,86.45002461841457,14
45,161,Train,94.40993788819875,15
46,161,Test,77.89656168737359,15
47,161,Test_Pure,79.64549483013293,15
48,161,Train,93.16770186335404,16
49,161,Test,71.84821342579217,16
50,161,Test_Pure,73.46134908911867,16
51,161,Train,93.16770186335404,17
52,161,Test,82.71212558990658,17
53,161,Test_Pure,84.56917774495322,17
54,161,Train,96.27329192546584,18
55,161,Test,88.19223731098911,18
56,161,Test_Pure,90.1723289020187,18
57,161,Train,93.7888198757764,19
58,161,Test,81.11335837426563,19
59,161,Test_Pure,82.9345150172329,19
60,161,Train,96.27329192546584,20
61,161,Test,75.35394394683618,20
62,161,Test_Pure,77.04579025110783,20
63,161,Train,95.65217391304348,21
64,161,Test,81.9127419820861,21
65,161,Test_Pure,83.75184638109306,21
66,161,Train,96.27329192546584,22
67,161,Test,84.47462197823366,22
68,161,Test_Pure,86.37124569177746,22
69,161,Train,93.16770186335404,23
70,161,Test,83.1551574689396,23
71,161,Test_Pure,85.02215657311669,23
72,161,Train,97.51552795031056,24
73,161,Test,83.1551574689396,24
74,161,Test_Pure,85.02215657311669,24
75,161,Train,96.27329192546584,25
76,161,Test,83.4440913030916,25
77,161,Test_Pure,85.31757754800591,25
78,161,Train,97.51552795031056,26
79,161,Test,80.583646344987,26
80,161,Test_Pure,82.39290989660266,26
81,161,Train,94.40993788819875,27
82,161,Test,79.00414138495618,27
83,161,Test_Pure,80.7779419005416,27
84,161,Train,96.27329192546584,28
85,161,Test,85.63035731484156,28
86,161,Test_Pure,87.55292959133432,28
87,161,Train,93.7888198757764,29
88,161,Test,81.17114514109602,29
89,161,Test_Pure,82.99359921221074,29
90,161,Train,95.65217391304348,30
91,161,Test,83.80044303187904,30
92,161,Test_Pure,85.68193008370261,30
93,161,Train,95.03105590062113,31
94,161,Test,77.71357025907733,31
95,161,Test_Pure,79.45839487936976,31
96,161,Train,94.40993788819875,32
97,161,Test,83.7522873928537,32
98,161,Test_Pure,85.6326932545544,32
99,161,Train,96.27329192546584,33
100,161,Test,74.1307907155928,33
101,161,Test_Pure,75.79517479074347,33
102,161,Train,97.51552795031056,34
103,161,Test,85.6207261870365,34
104,161,Test_Pure,87.54308222550468,34
105,161,Train,91.30434782608695,35
106,161,Test,79.5049600308196,35
107,161,Test_Pure,81.29000492368291,35
108,161,Train,96.27329192546584,36
109,161,Test,76.57709717807955,36
110,161,Test_Pure,78.29640571147219,36
111,161,Train,96.27329192546584,37
112,161,Test,80.9207358181643,37
113,161,Test_Pure,82.73756770064008,37
114,161,Train,95.03105590062113,38
115,161,Test,75.41173071366657,38
116,161,Test_Pure,77.10487444608567,38
117,161,Train,94.40993788819875,39
118,161,Test,81.81643070403545,39
119,161,Test_Pure,83.65337272279665,39
120,161,Train,97.51552795031056,40
121,161,Test,86.06375806606954,40
122,161,Test_Pure,87.99606105366814,40
123,161,Train,96.27329192546584,41
124,161,Test,75.90291823172494,41
125,161,Test_Pure,77.60709010339734,41
126,161,Train,95.03105590062113,42
127,161,Test,76.8756621400366,42
128,161,Test_Pure,78.60167405219104,42
129,161,Train,95.65217391304348,43
130,161,Test,75.72955793123374,43
131,161,Test_Pure,77.42983751846381,43
132,161,Train,94.40993788819875,44
133,161,Test,77.60762785322162,44
134,161,Test_Pure,79.35007385524372,44
135,161,Train,93.7888198757764,45
136,161,Test,78.87893672349033,45
137,161,Test_Pure,80.64992614475628,45
138,161,Train,97.51552795031056,46
139,161,Test,86.75719926803428,46
140,161,Test_Pure,88.70507139340226,46
141,161,Train,91.92546583850931,47
142,161,Test,78.6574207839738,47
143,161,Test_Pure,80.42343673067455,47
144,161,Train,91.92546583850931,48
145,161,Test,82.26909371087355,48
146,161,Test_Pure,84.11619891678977,48
147,161,Train,92.54658385093167,49
148,161,Test,80.9785225849947,49
